# format of this file:
# generation_number 	[function_input_vector] 	 violation 	[properties] 	[function_output_vector]
4	<0.000665901,0.0701397,0.0481452,364.339,0.000605514,0.031002,0.0595927,344.395>	0	<>	<0.127582,0.0755603,0.100791>
4	<0.000835334,0.0494965,0.0929098,378.583,0.000873684,0.0277649,0.0550854,352.25>	0	<>	<0.116691,0.0880817,0.0900845>
4	<0.000835334,0.0494965,0.0929098,381.097,0.00088941,0.0277649,0.0306469,352.25>	0	<>	<0.088943,0.144123,0.127512>
4	<0.000493275,0.0635668,0.0228055,378.202,0.000684913,0.0154706,0.0454412,378.028>	0	<>	<0.111793,0.224585,0.299493>
4	<0.000547572,0.0558225,0.0393554,397.628,0.000573456,0.0302555,0.0462212,375.474>	0	<>	<0.304718,0.102343,0.211096>
4	<0.000682286,0.0652585,0.0403563,387.809,0.000889496,0.0479884,0.0583591,385.201>	0	<>	<0.187085,0.131213,0.531206>
4	<0.000872257,0.0849706,0.0416371,378.137,0.000811568,0.0555583,0.0378866,351.512>	0	<>	<0.253295,0.128234,0.253431>
4	<0.00043082,0.0586274,0.0184766,389.392,0.000687521,0.0416775,0.0107658,350.928>	0	<>	<0.022117,0.0842248,0.0294431>
4	<0.000682286,0.0952392,0.0403563,379.247,0.000889496,0.0377653,0.0583591,385.201>	0	<>	<0.150784,0.464734,0.87073>
4	<0.000940762,0.0357763,0.0617433,385.313,0.000955901,0.0536107,0.0572222,356.74>	0	<>	<0.423691,0.193199,0.468998>
4	<0.000714516,0.0511989,0.0473007,389.143,0.000730689,0.0150451,0.0826186,396.845>	0	<>	<0.20455,0.511744,0.621796>
4	<0.000896832,0.0713797,0.0641963,382.58,0.000853609,0.0520886,0.0507633,352.564>	0	<>	<0.302653,0.153257,0.291071>
4	<0.000670861,0.0896674,0.0648451,379.717,0.000997009,0.0954469,0.089479,379.114>	0	<>	<0.0864354,0.100897,0.562912>
4	<0.000620192,0.0619358,0.0927633,378.53,0.000961079,0.0306351,0.0918674,395.957>	0	<>	<0.461209,0.911588,0.824801>
4	<0.000306567,0.0895238,0.0358031,395.66,0.000990256,0.0184179,0.0538213,367.598>	0	<>	<0.0503709,0.0101867,0.0203462>
4	<0.000380796,0.0382169,0.0656378,373.578,0.00081391,0.0314054,0.0918674,336.337>	0	<>	<0.0670659,0.0290555,0.0379948>
4	<0.000671957,0.064801,0.0323702,370.945,0.00098048,0.0621486,0.0479212,378.251>	0	<>	<1.21157,1.21157,1.21157>
4	<0.000602328,0.0127663,0.0700499,381.989,0.000986102,0.0225593,0.0350867,351.432>	0	<>	<0.188679,0.0430498,0.165208>
4	<0.000803954,0.0742999,0.0223762,389.899,0.000883238,0.0318442,0.0389061,372.458>	0	<>	<0.400391,0.231138,0.501919>
4	<0.0005722,0.0520569,0.0610645,379.772,0.000772899,0.0632905,0.0287406,369.883>	0	<>	<0.115139,0.209027,0.296366>
4	<0.000665901,0.0701397,0.0481452,367.012,0.000491842,0.0879341,0.0473735,344.395>	0	<>	<0.394925,0.259803,0.715505>
4	<0.000569518,0.0537534,0.0457958,353.518,0.000904597,0.0818686,0.0746179,393.57>	0	<>	<1.55209,1.55209,1.55209>
5	<0.00031524,0.0689853,0.06909,388.892,0.000896946,0.0241754,0.0243258,336.622>	0	<>	<0.0178269,0.0483814,0.012095>
5	<0.000306567,0.0895238,0.0358031,395.66,0.000990256,0.0184179,0.0538213,367.598>	0	<>	<0.0503709,0.0101867,0.0203462>
5	<0.000318383,0.0489337,0.0513819,383.575,0.000740875,0.0334907,0.0573591,363.771>	0	<>	<0.0783426,0.00140863,0.0183168>
5	<0.00043082,0.0586274,0.0184766,389.392,0.000687521,0.0416775,0.0107658,350.928>	0	<>	<0.022117,0.0842248,0.0294431>
5	<0.000380796,0.0382169,0.0656378,373.578,0.00081391,0.0314054,0.0918674,336.337>	0	<>	<0.0670659,0.0290555,0.0379948>
